,korea_hnb.qty
korea_hnb.qty,1.0
브랜드세일놀라운세일쇼,0.39900082423090283
2018새해에도독한세일,0.3372801014046143
DOG하게돌아온슈퍼왓슨스데이,0.28123922270135115
원더랄라블라데이.1,0.27578768242467216
SALE불이켜셨다,0.2756374109503571
달콤짜릿혜택올림팤,0.21936585145542611
BC카드로5만원이상결제시5천원청구할인,0.2181731524642003
원더랄라블라데이,0.19807725257135042
MDSPICK가을맞이아이템,0.1503838821830645
두근두근미리사봄멤버십데이,0.14817548274446168
11월프로모션보습히어로즈피부고민SOS,0.12220131351391987
5천HCoin이상사용시모바일상품권증정이벤트,0.10306185700964572
9월브랜드세일,0.03708707768623522
마스크팩세일,0.034212814774015644
랄라블라X11번가빼빼로데이스윗쇼핑,0.02181376885291539
6월브랜드세일,0.01121876441644248
