,korea_hnb.qty
korea_hnb.qty,1.0
가을이왓슨스세일이왓슨스UPTO50,0.4658363775452014
UPTO50BIGSALE,0.40433451944927684
12월파워셀링아이템,0.33867488950831526
가을뷰티템볼래FallinBeauty,0.31523471653271345
1월REDEMPTION이벤트,0.20402624817775072
1월의GetSpecial아이템,0.20402624817775072
2016년첫번째왓데이페스티벌,0.1862996881001816
2016왓슨스어워즈기념특가아이템,0.17128882333722417
봄이왓슨스세일이왓슨스UPTO50%,0.14869319831372868
왓슨스멤버십데이.3,0.11408172441568196
빼빼로데이블록버스터급선물대전,0.11021029886803115
왓슨스멤버십데이,0.10136961013600568
왓슨스직원추천한살빼기리얼꿀템,0.09195132967024341
크리스마스기프트위크,0.08533407670161328
아토팜리얼베리어50SALE,0.0746837022009634
2016쇼핑관광축제KOREASaleFESTA,0.0746837022009634
이런마스크팩은처음이지?,0.06172492808154009
계탄피부GET하시게,0.06172492808154009
LOVEMEKISSME러브미키스미,0.056744232347822526
여름이왓슨스세일이왓슨스UPTO50%,0.05113372400718638
