,korea_hnb.qty
korea_hnb.qty,1.0
UPTO50BIGSALE,0.6851231005431595
12월파워셀링아이템,0.4670829181904806
가을이왓슨스세일이왓슨스UPTO50,0.2576843818082976
봄이왓슨스세일이왓슨스UPTO50%,0.2254965646773991
여름이왓슨스세일이왓슨스UPTO50%,0.1804687898062642
1월REDEMPTION이벤트,0.1594684237642904
1월의GetSpecial아이템,0.1594684237642904
2016년첫번째왓데이페스티벌,0.10908916374934642
왓슨스직원추천한살빼기리얼꿀템,0.0965671436281027
2016왓슨스어워즈기념특가아이템,0.09191267560297645
왓슨스멤버십데이,0.08435990830518228
3월멤버십특가아이템,0.0772922672522757
아토팜리얼베리어50SALE,0.07247987582386418
2016쇼핑관광축제KOREASaleFESTA,0.07247987582386418
