,korea_hnb.qty
korea_hnb.qty,1.0
랄라블라에서위비꿀머니사용하고모바일상품권받자,0.42668206408985043
6월브랜드세일,0.37646712232290985
강력하게돌아온WONDER랄라블라데이,0.32978823846004135
랄라블라에서꽃처럼사는5월,0.327958242919599
랄라블라에서쿨하게놀자더위언팔,0.21561036752101545
마지막여름을즐기는SUMMERPARTY,0.19231893953368226
COOL한1등이쏜다,0.1546741687483671
스무살뷰티꽃길랄라블라데이,0.14858293101207365
랄라블라데이라이징스타2018,0.13319753514119972
꿀연휴는랄라블라에서5월어른이날,0.13049584059649857
9월브랜드세일,0.11729814590788955
매일매일공개되는1DAYGET썸머특가,0.08964808808116147
BC카드제휴6천원청구할인.1,0.058903683746040866
현대카드HCoin제휴이벤트,0.058568118422846864
BC카드제휴6천원청구할인,0.05416154541632125
