local,category,intercept,coefficients,columns,length
area_20,립케어,55.30283940995158,11.085056582843102,promo_day_cnt,17
area_20,립케어,55.30283940995158,5.959980654613198,promo_ssn_cnt,17
area_20,립케어,55.30283940995158,10.710849157650863,promo_disc_cnt,17
area_20,립케어,55.30283940995158,-5.05912323251419,promo_mem_cnt,17
area_20,립케어,55.30283940995158,-13.718802657996223,promo_co_cnt,17
area_20,립케어,55.30283940995158,-1.655866085406565,avg_temp,17
area_20,립케어,55.30283940995158,-0.6432965723557311,ilgyo,17
area_20,립케어,55.30283940995158,0.4613611059884351,avg_rhm,17
area_20,립케어,55.30283940995158,-0.08893944642197957,pm10,17
area_20,립케어,55.30283940995158,-1.9673296118482428,cloud,17
area_20,립케어,55.30283940995158,37.38088657157985,gen_cd_F,17
area_20,립케어,55.30283940995158,-37.380886571579914,gen_cd_M,17
area_20,립케어,55.30283940995158,-30.53563187771321,agegr_20_1,17
area_20,립케어,55.30283940995158,65.87044013401722,agegr_20_2,17
area_20,립케어,55.30283940995158,-10.785311308878292,agegr_20_3,17
area_20,립케어,55.30283940995158,-24.54949694742571,agegr_20_4,17
area_20,립케어,55.30283940995158,0.0,area_20,17
