local,category,intercept,coefficients,columns,length
경기도 안양시,바디로션,-23.222009992243585,24.213968656581073,promo_day_cnt,17
경기도 안양시,바디로션,-23.222009992243585,12.077059197728412,promo_ssn_cnt,17
경기도 안양시,바디로션,-23.222009992243585,34.79832885894359,promo_disc_cnt,17
경기도 안양시,바디로션,-23.222009992243585,-4.175993139606655,promo_mem_cnt,17
경기도 안양시,바디로션,-23.222009992243585,-24.154697022182006,promo_co_cnt,17
경기도 안양시,바디로션,-23.222009992243585,-3.694691919078856,avg_temp,17
경기도 안양시,바디로션,-23.222009992243585,1.9266439666359692,ilgyo,17
경기도 안양시,바디로션,-23.222009992243585,1.190314448140336,avg_rhm,17
경기도 안양시,바디로션,-23.222009992243585,-0.05977298328516653,pm10,17
경기도 안양시,바디로션,-23.222009992243585,-0.8378288092410674,cloud,17
경기도 안양시,바디로션,-23.222009992243585,72.79901930413503,gen_cd_F,17
경기도 안양시,바디로션,-23.222009992243585,-72.79901930413503,gen_cd_M,17
경기도 안양시,바디로션,-23.222009992243585,-82.16994343924779,agegr_20_1,17
경기도 안양시,바디로션,-23.222009992243585,130.31727058817478,agegr_20_2,17
경기도 안양시,바디로션,-23.222009992243585,-10.370067448273215,agegr_20_3,17
경기도 안양시,바디로션,-23.222009992243585,-37.77725970065371,agegr_20_4,17
경기도 안양시,바디로션,-23.222009992243585,0.0,경기도 안양시,17
