local,category,intercept,coefficients,columns,length
¼­¿ïÆ¯º°½Ã °ü¾Ç±¸,¸¶½ºÅ©ÆÑ,-244.5604721718305,644.7109843930511,promo_day_cnt,17
¼­¿ïÆ¯º°½Ã °ü¾Ç±¸,¸¶½ºÅ©ÆÑ,-244.5604721718305,88.861869343723,promo_ssn_cnt,17
¼­¿ïÆ¯º°½Ã °ü¾Ç±¸,¸¶½ºÅ©ÆÑ,-244.5604721718305,628.5131361601275,promo_disc_cnt,17
¼­¿ïÆ¯º°½Ã °ü¾Ç±¸,¸¶½ºÅ©ÆÑ,-244.5604721718305,-59.84391922433732,promo_mem_cnt,17
¼­¿ïÆ¯º°½Ã °ü¾Ç±¸,¸¶½ºÅ©ÆÑ,-244.5604721718305,-20.211304934160843,promo_co_cnt,17
¼­¿ïÆ¯º°½Ã °ü¾Ç±¸,¸¶½ºÅ©ÆÑ,-244.5604721718305,28.224718943491155,avg_temp,17
¼­¿ïÆ¯º°½Ã °ü¾Ç±¸,¸¶½ºÅ©ÆÑ,-244.5604721718305,-19.205335490302033,ilgyo,17
¼­¿ïÆ¯º°½Ã °ü¾Ç±¸,¸¶½ºÅ©ÆÑ,-244.5604721718305,7.907653537823202,avg_rhm,17
¼­¿ïÆ¯º°½Ã °ü¾Ç±¸,¸¶½ºÅ©ÆÑ,-244.5604721718305,-1.4981928112947374,pm10,17
¼­¿ïÆ¯º°½Ã °ü¾Ç±¸,¸¶½ºÅ©ÆÑ,-244.5604721718305,-21.73831338277368,cloud,17
¼­¿ïÆ¯º°½Ã °ü¾Ç±¸,¸¶½ºÅ©ÆÑ,-244.5604721718305,1069.7604915783213,gen_cd_F,17
¼­¿ïÆ¯º°½Ã °ü¾Ç±¸,¸¶½ºÅ©ÆÑ,-244.5604721718305,-1069.7604915783213,gen_cd_M,17
¼­¿ïÆ¯º°½Ã °ü¾Ç±¸,¸¶½ºÅ©ÆÑ,-244.5604721718305,-1116.7063715556644,agegr_20_1,17
¼­¿ïÆ¯º°½Ã °ü¾Ç±¸,¸¶½ºÅ©ÆÑ,-244.5604721718305,2477.9459960310164,agegr_20_2,17
¼­¿ïÆ¯º°½Ã °ü¾Ç±¸,¸¶½ºÅ©ÆÑ,-244.5604721718305,-435.2433143329269,agegr_20_3,17
¼­¿ïÆ¯º°½Ã °ü¾Ç±¸,¸¶½ºÅ©ÆÑ,-244.5604721718305,-925.9963101424247,agegr_20_4,17
¼­¿ïÆ¯º°½Ã °ü¾Ç±¸,¸¶½ºÅ©ÆÑ,-244.5604721718305,0.0,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸,17
