local,category,intercept,coefficients,columns,length
¼­¿ïÆ¯º°½Ã ±¤Áø±¸,¸¶½ºÅ©ÆÑ,-208.83917643913674,670.1606225419124,promo_day_cnt,17
¼­¿ïÆ¯º°½Ã ±¤Áø±¸,¸¶½ºÅ©ÆÑ,-208.83917643913674,85.20565754119812,promo_ssn_cnt,17
¼­¿ïÆ¯º°½Ã ±¤Áø±¸,¸¶½ºÅ©ÆÑ,-208.83917643913674,733.3739939727292,promo_disc_cnt,17
¼­¿ïÆ¯º°½Ã ±¤Áø±¸,¸¶½ºÅ©ÆÑ,-208.83917643913674,-30.98000902417592,promo_mem_cnt,17
¼­¿ïÆ¯º°½Ã ±¤Áø±¸,¸¶½ºÅ©ÆÑ,-208.83917643913674,127.6445931139848,promo_co_cnt,17
¼­¿ïÆ¯º°½Ã ±¤Áø±¸,¸¶½ºÅ©ÆÑ,-208.83917643913674,31.584754687400544,avg_temp,17
¼­¿ïÆ¯º°½Ã ±¤Áø±¸,¸¶½ºÅ©ÆÑ,-208.83917643913674,-31.402337116209885,ilgyo,17
¼­¿ïÆ¯º°½Ã ±¤Áø±¸,¸¶½ºÅ©ÆÑ,-208.83917643913674,2.9525413552186834,avg_rhm,17
¼­¿ïÆ¯º°½Ã ±¤Áø±¸,¸¶½ºÅ©ÆÑ,-208.83917643913674,-0.09072634584478045,pm10,17
¼­¿ïÆ¯º°½Ã ±¤Áø±¸,¸¶½ºÅ©ÆÑ,-208.83917643913674,-29.405123247279583,cloud,17
¼­¿ïÆ¯º°½Ã ±¤Áø±¸,¸¶½ºÅ©ÆÑ,-208.83917643913674,1585.1662514481106,gen_cd_F,17
¼­¿ïÆ¯º°½Ã ±¤Áø±¸,¸¶½ºÅ©ÆÑ,-208.83917643913674,-1585.1662514481104,gen_cd_M,17
¼­¿ïÆ¯º°½Ã ±¤Áø±¸,¸¶½ºÅ©ÆÑ,-208.83917643913674,-1575.2084967133364,agegr_20_1,17
¼­¿ïÆ¯º°½Ã ±¤Áø±¸,¸¶½ºÅ©ÆÑ,-208.83917643913674,3189.794275656073,agegr_20_2,17
¼­¿ïÆ¯º°½Ã ±¤Áø±¸,¸¶½ºÅ©ÆÑ,-208.83917643913674,-430.19722503965363,agegr_20_3,17
¼­¿ïÆ¯º°½Ã ±¤Áø±¸,¸¶½ºÅ©ÆÑ,-208.83917643913674,-1184.3885539030816,agegr_20_4,17
¼­¿ïÆ¯º°½Ã ±¤Áø±¸,¸¶½ºÅ©ÆÑ,-208.83917643913674,0.0,¼­¿ïÆ¯º°½Ã ±¤Áø±¸,17
