"date_time","blog","twitter","news","total","cat"
2016-01-01 00:00:00,3211.0000,596.0000,36.0000,3843.0000,br
2016-01-02 00:00:00,4007.0000,1063.0000,35.0000,5105.0000,br
2016-01-03 00:00:00,4325.0000,1041.0000,8.0000,5374.0000,br
2016-01-04 00:00:00,6154.0000,796.0000,41.0000,6991.0000,br
2016-01-05 00:00:00,5844.0000,908.0000,55.0000,6807.0000,br
2016-01-06 00:00:00,5738.0000,939.0000,69.0000,6746.0000,br
2016-01-07 00:00:00,5627.0000,1108.0000,60.0000,6795.0000,br
2016-01-08 00:00:00,5413.0000,911.0000,47.0000,6371.0000,br
2016-01-09 00:00:00,3932.0000,888.0000,48.0000,4868.0000,br
2016-01-10 00:00:00,4058.0000,1028.0000,21.0000,5107.0000,br
2016-01-11 00:00:00,5973.0000,997.0000,61.0000,7031.0000,br
2016-01-12 00:00:00,5533.0000,897.0000,70.0000,6500.0000,br
2016-01-13 00:00:00,5596.0000,839.0000,87.0000,6522.0000,br
2016-01-14 00:00:00,5284.0000,848.0000,95.0000,6227.0000,br
2016-01-15 00:00:00,5130.0000,924.0000,86.0000,6140.0000,br
2016-01-16 00:00:00,3753.0000,897.0000,46.0000,4696.0000,br
2016-01-17 00:00:00,3930.0000,895.0000,16.0000,4841.0000,br
2016-01-18 00:00:00,5888.0000,805.0000,50.0000,6743.0000,br
2016-01-19 00:00:00,5663.0000,725.0000,95.0000,6483.0000,br
2016-01-20 00:00:00,5070.0000,687.0000,75.0000,5832.0000,br
2016-01-21 00:00:00,5201.0000,1000.0000,78.0000,6279.0000,br
2016-01-22 00:00:00,5009.0000,1501.0000,83.0000,6593.0000,br
2016-01-23 00:00:00,3766.0000,1521.0000,41.0000,5328.0000,br
2016-01-24 00:00:00,3996.0000,1307.0000,13.0000,5316.0000,br
2016-01-25 00:00:00,5696.0000,1416.0000,48.0000,7160.0000,br
2016-01-26 00:00:00,5489.0000,1226.0000,78.0000,6793.0000,br
2016-01-27 00:00:00,5264.0000,1329.0000,72.0000,6665.0000,br
2016-01-28 00:00:00,5084.0000,1259.0000,161.0000,6504.0000,br
2016-01-29 00:00:00,4999.0000,1287.0000,51.0000,6337.0000,br
2016-01-30 00:00:00,3692.0000,999.0000,66.0000,4757.0000,br
2016-01-31 00:00:00,4078.0000,930.0000,28.0000,5036.0000,br
2016-02-01 00:00:00,5558.0000,1009.0000,61.0000,6628.0000,br
2016-02-02 00:00:00,5150.0000,1079.0000,53.0000,6282.0000,br
2016-02-03 00:00:00,5097.0000,937.0000,68.0000,6102.0000,br
2016-02-04 00:00:00,4907.0000,910.0000,74.0000,5891.0000,br
2016-02-05 00:00:00,4599.0000,1021.0000,42.0000,5662.0000,br
2016-02-06 00:00:00,3273.0000,809.0000,46.0000,4128.0000,br
2016-02-07 00:00:00,2959.0000,819.0000,23.0000,3801.0000,br
2016-02-08 00:00:00,2270.0000,803.0000,19.0000,3092.0000,br
2016-02-09 00:00:00,2693.0000,962.0000,37.0000,3692.0000,br
2016-02-10 00:00:00,3834.0000,1041.0000,22.0000,4897.0000,br
2016-02-11 00:00:00,5283.0000,1082.0000,43.0000,6408.0000,br
2016-02-12 00:00:00,5113.0000,1143.0000,46.0000,6302.0000,br
2016-02-13 00:00:00,3738.0000,996.0000,41.0000,4775.0000,br
2016-02-14 00:00:00,3764.0000,1021.0000,8.0000,4793.0000,br
2016-02-15 00:00:00,5330.0000,995.0000,61.0000,6386.0000,br
2016-02-16 00:00:00,5115.0000,1020.0000,71.0000,6206.0000,br
2016-02-17 00:00:00,4918.0000,974.0000,72.0000,5964.0000,br
2016-02-18 00:00:00,5090.0000,1043.0000,108.0000,6241.0000,br
2016-02-19 00:00:00,4736.0000,988.0000,55.0000,5779.0000,br
2016-02-20 00:00:00,3709.0000,967.0000,109.0000,4785.0000,br
2016-02-21 00:00:00,3762.0000,968.0000,18.0000,4748.0000,br
2016-02-22 00:00:00,5349.0000,1136.0000,75.0000,6560.0000,br
2016-02-23 00:00:00,5235.0000,1156.0000,43.0000,6434.0000,br
2016-02-24 00:00:00,5076.0000,1190.0000,67.0000,6333.0000,br
2016-02-25 00:00:00,4987.0000,1221.0000,82.0000,6290.0000,br
2016-02-26 00:00:00,4583.0000,1351.0000,79.0000,6013.0000,br
2016-02-27 00:00:00,3592.0000,1120.0000,68.0000,4780.0000,br
2016-02-28 00:00:00,3842.0000,1207.0000,96.0000,5145.0000,br
2016-02-29 00:00:00,5191.0000,1126.0000,101.0000,6418.0000,br
2016-03-01 00:00:00,4271.0000,963.0000,29.0000,5263.0000,br
2016-03-02 00:00:00,5069.0000,890.0000,68.0000,6027.0000,br
2016-03-03 00:00:00,4986.0000,1073.0000,67.0000,6126.0000,br
2016-03-04 00:00:00,4714.0000,1146.0000,28.0000,5888.0000,br
2016-03-05 00:00:00,3467.0000,1250.0000,61.0000,4778.0000,br
2016-03-06 00:00:00,3731.0000,1039.0000,5.0000,4775.0000,br
2016-03-07 00:00:00,5441.0000,1245.0000,39.0000,6725.0000,br
2016-03-08 00:00:00,5143.0000,1139.0000,41.0000,6323.0000,br
2016-03-09 00:00:00,4889.0000,984.0000,157.0000,6030.0000,br
2016-03-10 00:00:00,4774.0000,986.0000,69.0000,5829.0000,br
2016-03-11 00:00:00,4511.0000,887.0000,42.0000,5440.0000,br
2016-03-12 00:00:00,3380.0000,841.0000,43.0000,4264.0000,br
2016-03-13 00:00:00,3734.0000,867.0000,13.0000,4614.0000,br
2016-03-14 00:00:00,5229.0000,931.0000,42.0000,6202.0000,br
2016-03-15 00:00:00,4916.0000,968.0000,37.0000,5921.0000,br
2016-03-16 00:00:00,4873.0000,1045.0000,72.0000,5990.0000,br
2016-03-17 00:00:00,4535.0000,1097.0000,49.0000,5681.0000,br
2016-03-18 00:00:00,4609.0000,973.0000,39.0000,5621.0000,br
